ID,Ola,Módulo,Funcionalidad,Estado matriz,Qué falta según matriz,Horas base,Responsable propuesto en plan,Responsable nominal,Inicio objetivo,Fin objetivo,Dependencias,Criterio de aceptación,Backend localizado,Frontend localizado,Pruebas localizadas,Estado de evidencia técnica,Evidencia requerida para cierre,Resultado QA/UAT
F1-ALM-15,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,"Consultar kardex, existencias, movimientos y excepciones",Existe a medias,"Completar filtros, exportación y conciliación con cierres",4,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-15,2026-10-16,Contabilidad,El saldo inicial más entradas menos salidas coincide con la existencia final,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-MP-01,Ola 1B-1 · Abastecimiento e inventario,Materia prima,"Administrar catálogo de materias primas, variantes y unidades",Existe a medias,"Completar atributos, equivalencias y gobierno de claves",5,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-16,2026-10-16,A+W; Administración y usuarios,Cada material tiene identidad única y equivalencias validadas,backend/src/Almacen; backend/src/Integraciones.Aw,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Integraciones.Aw.UnitTests; backend/tests/Integraciones.Aw.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-MP-02,Ola 1B-1 · Abastecimiento e inventario,Materia prima,Recibir necesidades de materia prima desde producción A+W,No existe,--,8,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-16,2026-10-19,A+W,"La necesidad importada conserva pedido, material, cantidad y fecha sin duplicarse",backend/src/Almacen; backend/src/Integraciones.Aw,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Integraciones.Aw.UnitTests; backend/tests/Integraciones.Aw.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-MP-03,Ola 1B-1 · Abastecimiento e inventario,Materia prima,Convertir necesidades en requisición y orden de compra,No existe,--,7,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-19,2026-10-20,Compras; A+W,Una necesidad autorizada genera compra y conserva saldo pendiente,backend/src/Almacen; backend/src/Integraciones.Aw,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Integraciones.Aw.UnitTests; backend/tests/Integraciones.Aw.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-MP-04,Ola 1B-1 · Abastecimiento e inventario,Materia prima,Registrar recepción de material directo por orden o packing list,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-16,2026-10-16,Compras; Almacén de insumos,La recepción incrementa existencia y conserva el documento de origen,backend/src/Almacen; backend/src/Integraciones.Aw,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Integraciones.Aw.UnitTests; backend/tests/Integraciones.Aw.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-MP-05,Ola 1B-1 · Abastecimiento e inventario,Materia prima,"Controlar lotes, ubicaciones y disponibilidad para producción",Existe a medias,"Completar reglas de lote, reserva y disponibilidad por planta",6,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-20,2026-10-21,Almacén de insumos; A+W,"La disponibilidad excluye material reservado, bloqueado o en cuarentena",backend/src/Almacen; backend/src/Integraciones.Aw,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Integraciones.Aw.UnitTests; backend/tests/Integraciones.Aw.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-MP-06,Ola 1B-1 · Abastecimiento e inventario,Materia prima,Valuar entrada por orden y revaluar el remanente,No existe,--,8,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-21,2026-10-22,Compras; Contabilidad,La revaluación afecta sólo el remanente y se puede rastrear a la orden,backend/src/Almacen; backend/src/Integraciones.Aw,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Integraciones.Aw.UnitTests; backend/tests/Integraciones.Aw.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-MP-07,Ola 1B-1 · Abastecimiento e inventario,Materia prima,Reservar y descontar consumo informado por A+W,No existe,--,8,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-22,2026-10-23,A+W; Almacén de insumos,El consumo disminuye una vez el lote correcto y se concilia con el pedido,backend/src/Almacen; backend/src/Integraciones.Aw,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Integraciones.Aw.UnitTests; backend/tests/Integraciones.Aw.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-MP-08,Ola 1B-1 · Abastecimiento e inventario,Materia prima,Registrar merma en kilos con motivo y valor,No existe,--,4,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-23,2026-10-26,A+W; Contabilidad,"La merma reduce existencia, calcula valor y queda autorizada",backend/src/Almacen; backend/src/Integraciones.Aw,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Integraciones.Aw.UnitTests; backend/tests/Integraciones.Aw.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-MP-09,Ola 1B-1 · Abastecimiento e inventario,Materia prima,"Consultar trazabilidad de compra, lote, consumo, merma y saldo",No existe,--,3,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-26,2026-10-26,A+W; Compras; Contabilidad,El saldo se explica desde la compra hasta consumo o merma,backend/src/Almacen; backend/src/Integraciones.Aw,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Integraciones.Aw.UnitTests; backend/tests/Integraciones.Aw.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-01,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Registrar factura de proveedor contra recepción,Existe a medias,Completar validación de tolerancia en cantidad y manejo uniforme de parciales,4,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-13,2026-10-14,Almacén de insumos; Compras,La factura queda ligada a la recepción y genera el pasivo correcto,backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-02,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,"Validar orden, recepción y factura con tolerancias independientes",Existe a medias,"Agregar tolerancia de cantidad, excepciones y bloqueo sin sobreescritura",8,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-14,2026-10-15,Compras; Almacén de insumos,Cada diferencia se evalúa por su regla y las excepciones quedan autorizadas,backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-03,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Registrar servicios y gastos sin orden con autorización,Ya existe y funciona,--,0,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-13,2026-10-13,Administración y usuarios,"El gasto sin orden queda clasificado, autorizado y genera pasivo",backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-04,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Registrar gastos de comercio exterior y distribuirlos,Ya existe y funciona,--,0,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-13,2026-10-13,Comercio exterior; Contabilidad,El gasto se liga al expediente y conserva su distribución,backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-05,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Recibir y validar CFDI desde buzón y SAT,Existe a medias,"Completar descarga, vigencia SAT, duplicados y asociación automática",8,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-15,2026-10-16,SAT; buzón fiscal,Sólo se registra un UUID vigente y las inconsistencias quedan señaladas,backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-06,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Programar vencimientos y propuesta de pagos,Ya existe y funciona,--,0,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-13,2026-10-13,Tesorería,La propuesta incluye sólo documentos elegibles y conserva selección,backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-07,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,"Registrar anticipos, notas de crédito y compensaciones",Ya existe y funciona,--,0,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-13,2026-10-13,Tesorería,La aplicación reduce saldos sin exceder el documento,backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-08,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Controlar IVA pendiente y trasladarlo a pagado,Existe a medias,"Completar cálculo por abono, póliza y conciliación fiscal",8,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-16,2026-10-19,Tesorería; Contabilidad,Cada pago mueve sólo el IVA proporcional y concilia con la factura,backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-09,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Calcular retenciones y monto neto a pagar,Existe a medias,"Completar matriz fiscal, redondeos y desglose al usuario",8,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-19,2026-10-20,SAT; Tesorería; Contabilidad,"El neto coincide con subtotal, impuestos y retenciones aplicables",backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-10,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Generar información para DIOT,Existe a medias,"Completar clasificación, validaciones y conciliación contra pagos",6,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-20,2026-10-21,SAT; Contabilidad,La DIOT concilia con IVA pagado y proveedores del periodo,backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-11,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Cerrar periodo y consultar antigüedad de saldos,Existe a medias,Completar bloqueo/reapertura y conciliación con mayor contable,4,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-21,2026-10-21,Contabilidad,El auxiliar cerrado coincide con la cuenta contable de proveedores,backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-12,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Revaluar saldos en moneda extranjera,Existe a medias,"Completar tipo de cambio, diferencia cambiaria y póliza",6,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-21,2026-10-22,Banco de México/SAT; Contabilidad,La revaluación usa el tipo autorizado y genera diferencia trazable,backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CXP-13,Ola 1B-2 · Pasivo y comercio exterior mínimo,Cuentas por pagar,Generar pólizas y auxiliar contable de proveedores,No existe,--,6,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-22,2026-10-23,Contabilidad,"Cada factura, nota y pago genera asiento balanceado y rastreable",backend/src/CuentasPorPagar,frontend/src/features/cxp,backend/tests/CuentasPorPagar.UnitTests; backend/tests/Api.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CE-01,Ola 1B-2 · Pasivo y comercio exterior mínimo,Comercio exterior,Administrar expediente único de importación o exportación,No existe,--,8,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-23,2026-10-26,Compras; Facturación,"El expediente reúne referencias, responsables, documentos y estado",Sin módulo dedicado localizado,Sin feature dedicado localizado,backend/tests/Api.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CE-02,Ola 1B-2 · Pasivo y comercio exterior mínimo,Comercio exterior,"Controlar hitos y fechas de embarque, aduana y entrega",No existe,--,5,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-26,2026-10-27,Agente aduanal; transportista,"Cada operación muestra avance, atraso y responsable",Sin módulo dedicado localizado,Sin feature dedicado localizado,backend/tests/Api.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CE-03,Ola 1B-2 · Pasivo y comercio exterior mínimo,Comercio exterior,Gestionar checklist documental y alertas,No existe,--,4,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-27,2026-10-28,Agente aduanal; Administración y usuarios,No se marca completo un expediente con documentos obligatorios faltantes,Sin módulo dedicado localizado,Sin feature dedicado localizado,backend/tests/Api.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CE-04,Ola 1B-2 · Pasivo y comercio exterior mínimo,Comercio exterior,"Relacionar pedimento, contenedor, packing list y órdenes",Existe a medias,"Completar modelo único, validaciones y navegación entre documentos",5,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-28,2026-10-28,Compras; Almacén de insumos,Cada recepción importada se rastrea al pedimento y contenedor,Sin módulo dedicado localizado,Sin feature dedicado localizado,backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CE-05,Ola 1B-2 · Pasivo y comercio exterior mínimo,Comercio exterior,Controlar órdenes OTR y proveedor extranjero,No existe,--,5,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-28,2026-10-29,Compras; Cuentas por pagar,"La orden OTR conserva proveedor, moneda, embarque y saldo",Sin módulo dedicado localizado,Sin feature dedicado localizado,backend/tests/Api.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CE-06,Ola 1B-2 · Pasivo y comercio exterior mínimo,Comercio exterior,Distribuir gastos y costo puesto en almacén,Existe a medias,"Completar bases de distribución, cierre y conciliación",5,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-29,2026-10-30,Cuentas por pagar; Materia prima; Contabilidad,Los gastos se distribuyen con una base visible y concilian con el expediente,Sin módulo dedicado localizado,Sin feature dedicado localizado,backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-CE-07,Ola 1B-2 · Pasivo y comercio exterior mínimo,Comercio exterior,Integrar datos de exportación con CFDI de comercio exterior,No existe,--,4,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-30,2026-10-30,Facturación y fiscal; SAT,El CFDI contiene los datos aprobados del expediente sin recaptura inconsistente,Sin módulo dedicado localizado,Sin feature dedicado localizado,backend/tests/Api.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-FAC-01,"Ola 1C · Venta, entrega y cartera",Facturación y fiscal,Recibir pedidos facturables desde A+W y validar elegibilidad,Existe a medias,"Cerrar contrato de datos, estado elegible, idempotencia y rechazos",4,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-11-19,2026-11-20,A+W; Producto terminado,Cada pedido elegible se recibe una vez y los no elegibles muestran causa,backend/src/Facturacion; backend/src/Integraciones.Fiscal,frontend/src/features/facturacion; frontend/src/features/integraciones-fiscal,backend/tests/Facturacion.UnitTests; backend/tests/Integraciones.Fiscal.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-FAC-02,"Ola 1C · Venta, entrega y cartera",Facturación y fiscal,Emitir factura CFDI 4.0,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-11-19,2026-11-19,PAC; SAT,"La factura se timbra, guarda XML/PDF y acusa UUID",backend/src/Facturacion; backend/src/Integraciones.Fiscal,frontend/src/features/facturacion; frontend/src/features/integraciones-fiscal,backend/tests/Facturacion.UnitTests; backend/tests/Integraciones.Fiscal.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-FAC-03,"Ola 1C · Venta, entrega y cartera",Facturación y fiscal,Emitir proforma antes del timbrado,No existe,--,10,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-11-20,2026-11-23,A+W; Crédito y cobranza,La proforma se revisa sin folio fiscal y se convierte sin recaptura,backend/src/Facturacion; backend/src/Integraciones.Fiscal,frontend/src/features/facturacion; frontend/src/features/integraciones-fiscal,backend/tests/Facturacion.UnitTests; backend/tests/Integraciones.Fiscal.UnitTests; backend/tests/Api.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-FAC-04,"Ola 1C · Venta, entrega y cartera",Facturación y fiscal,Aplicar ranura y reglas especiales de facturación,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-11-19,2026-11-19,A+W,La regla se aplica sólo cuando corresponde y queda visible,backend/src/Facturacion; backend/src/Integraciones.Fiscal,frontend/src/features/facturacion; frontend/src/features/integraciones-fiscal,backend/tests/Facturacion.UnitTests; backend/tests/Integraciones.Fiscal.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-FAC-05,"Ola 1C · Venta, entrega y cartera",Facturación y fiscal,Facturar contado únicamente en MXN y con forma válida,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-11-19,2026-11-19,SAT,El sistema rechaza contado fuera de MXN o con combinación fiscal inválida,backend/src/Facturacion; backend/src/Integraciones.Fiscal,frontend/src/features/facturacion; frontend/src/features/integraciones-fiscal,backend/tests/Facturacion.UnitTests; backend/tests/Integraciones.Fiscal.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-FAC-06,"Ola 1C · Venta, entrega y cartera",Facturación y fiscal,Facturar a crédito y emitir complemento de pago por abono,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-11-19,2026-11-19,Crédito y cobranza; PAC,Cada abono genera complemento y conserva su UUID,backend/src/Facturacion; backend/src/Integraciones.Fiscal,frontend/src/features/facturacion; frontend/src/features/integraciones-fiscal,backend/tests/Facturacion.UnitTests; backend/tests/Integraciones.Fiscal.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-FAC-07,"Ola 1C · Venta, entrega y cartera",Facturación y fiscal,Emitir CFDI con complemento de comercio exterior,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-11-19,2026-11-19,Comercio exterior; PAC,El comprobante valida los datos obligatorios del complemento,backend/src/Facturacion; backend/src/Integraciones.Fiscal,frontend/src/features/facturacion; frontend/src/features/integraciones-fiscal,backend/tests/Facturacion.UnitTests; backend/tests/Integraciones.Fiscal.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-FAC-08,"Ola 1C · Venta, entrega y cartera",Facturación y fiscal,Cancelar y sustituir CFDI con trazabilidad SAT,Existe a medias,"Completar motivos, aceptación, sustitución y sincronización de estatus",8,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-26,2026-10-28,SAT; PAC; Crédito y cobranza,La cancelación refleja el estatus SAT y liga el comprobante sustituto,backend/src/Facturacion; backend/src/Integraciones.Fiscal,frontend/src/features/facturacion; frontend/src/features/integraciones-fiscal,backend/tests/Facturacion.UnitTests; backend/tests/Integraciones.Fiscal.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-FAC-09,"Ola 1C · Venta, entrega y cartera",Facturación y fiscal,"Administrar series, cierres y folios por empresa",Existe a medias,Completar bloqueo de periodo y conciliación de folios,4,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-28,2026-10-28,Administración y usuarios; Contabilidad,"No hay folios duplicados y el cierre concilia emitidos, cancelados y vigentes",backend/src/Facturacion; backend/src/Integraciones.Fiscal,frontend/src/features/facturacion; frontend/src/features/integraciones-fiscal,backend/tests/Facturacion.UnitTests; backend/tests/Integraciones.Fiscal.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-FAC-10,"Ola 1C · Venta, entrega y cartera",Facturación y fiscal,Conciliar masivamente CFDI contra SAT,Existe a medias,"Agregar descarga/consulta masiva, diferencias y resolución",8,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-28,2026-10-29,SAT,El reporte identifica y resuelve discrepancias por UUID,backend/src/Facturacion; backend/src/Integraciones.Fiscal,frontend/src/features/facturacion; frontend/src/features/integraciones-fiscal,backend/tests/Facturacion.UnitTests; backend/tests/Integraciones.Fiscal.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
